Frequency (Hz),S12 Real,S12 Imaginary
311431143,-0.205742,0.597521
312031203,-0.197336,0.600117
312631263,-0.189349,0.602517
313231323,-0.180366,0.605357
313831383,-0.172058,0.607605
314431443,-0.163735,0.609893
315031503,-0.15545,0.611984
315631563,-0.146965,0.614117
316231623,-0.138774,0.615861
316831683,-0.130348,0.617721
317431743,-0.122324,0.619402
318031803,-0.113781,0.620947
318631863,-0.105414,0.622325
319231923,-0.0969421,0.623745
319831983,-0.0886887,0.625141
320432043,-0.0803755,0.62619
321032103,-0.0720179,0.627292
321632163,-0.0636976,0.628236
322232223,-0.0554367,0.629086
322832283,-0.0470961,0.629831
323432343,-0.0386611,0.63049
324032403,-0.0303029,0.631055
324632463,-0.0219701,0.63149
325232523,-0.0134445,0.631946
325832583,-0.00492452,0.632214
326432643,0.00372042,0.632363
327032703,0.0120568,0.632382
327632763,0.0206019,0.632157
328232823,0.0293121,0.632202
328832883,0.0377532,0.631868
329432943,0.0465029,0.631395
330033003,0.0549608,0.631068
330633063,0.063368,0.630397
331233123,0.0722398,0.629692
331833183,0.0806834,0.628938
332433243,0.0889917,0.627979
333033303,0.0977507,0.627005
333633363,0.106328,0.625894
334233423,0.114886,0.624605
334833483,0.123501,0.623159
335433543,0.131853,0.62184
336033603,0.140564,0.62019
336633663,0.148984,0.618544
337233723,0.157358,0.61669
337833783,0.166046,0.614879
338433843,0.174669,0.61286
339033903,0.182837,0.610597
339633963,0.19166,0.608323
340234023,0.199979,0.606034
340834083,0.208144,0.603582
341434143,0.21659,0.600955
342034203,0.224947,0.598221
342634263,0.233496,0.59544
343234323,0.241833,0.592536
343834383,0.24989,0.589511
344434443,0.258153,0.586289
345034503,0.266451,0.582964
345634563,0.274767,0.579606
346234623,0.283021,0.576107
346834683,0.291221,0.572333
347434743,0.299157,0.568571
348034803,0.307499,0.56474
348634863,0.315429,0.560707
349234923,0.323479,0.556594
349834983,0.331465,0.552388
350435043,0.339223,0.547981
351035103,0.34724,0.543547
351635163,0.355247,0.539025
352235223,0.363083,0.53424
352835283,0.370995,0.529349
353435343,0.378505,0.524548
354035403,0.386276,0.519338
354635463,0.393799,0.514249
355235523,0.401457,0.508834
355835583,0.408703,0.503625
356435643,0.416157,0.498003
357035703,0.423335,0.49241
357635763,0.430693,0.486781
358235823,0.437826,0.480908
358835883,0.445225,0.474753
359435943,0.452239,0.46866
360036003,0.459039,0.462534
360636063,0.465743,0.456493
361236123,0.472601,0.450097
361836183,0.479456,0.44356
362436243,0.486264,0.436956
363036303,0.492771,0.430166
363636363,0.499207,0.423328
364236423,0.50556,0.416512
364836483,0.511985,0.409395
365436543,0.518055,0.402413
366036603,0.52421,0.395227
366636663,0.530316,0.387684
367236723,0.536311,0.380405
367836783,0.542102,0.37295
368436843,0.547767,0.365396
369036903,0.553407,0.357777
369636963,0.558887,0.349882
370237023,0.564238,0.34185
370837083,0.569611,0.334017
371437143,0.574857,0.32594
372037203,0.580012,0.317607
372637263,0.585064,0.309272
373237323,0.589844,0.30097
373837383,0.59448,0.29273
374437443,0.599291,0.283959
375037503,0.603951,0.275273
375637563,0.60817,0.266906
376237623,0.612438,0.258117
376837683,0.616362,0.249435
377437743,0.620469,0.240616
378037803,0.624367,0.231584
378637863,0.628008,0.222553
379237923,0.63156,0.213726
379837983,0.635098,0.204307
380438043,0.638443,0.195252
381038103,0.641643,0.185889
381638163,0.644718,0.1766
382238223,0.647644,0.166958
382838283,0.650351,0.157752
383438343,0.653015,0.148212
384038403,0.655539,0.13865
384638463,0.657869,0.129259
385238523,0.660093,0.119444
385838583,0.662239,0.109868
386438643,0.664048,0.100012
387038703,0.665825,0.0902036
387638763,0.667216,0.0804326
388238823,0.668927,0.0707912
388838883,0.670227,0.0608328
389438943,0.67147,0.0509386
390039003,0.672445,0.040862
390639063,0.673345,0.0308499
391239123,0.674099,0.021089
391839183,0.674689,0.011004
392439243,0.675114,0.000673063
393039303,0.675166,-0.00904468
393639363,0.675468,-0.0192987
